Name of the raag,Aaroh - Avroh,Pakad,Vadi-Samvadi,Time,Swara - Set,Gamak,Rasa(emotional essence or mood))
Jogeshwari,S G m D n S'; - S' n D m G m g S,"S G m g S ; ,n ,D ; ,m ,D ,n S ; S G m ; n D m ; D n S' ; S' D ; n m ; D G ; m g S",Madhyam - Shadj,9PM to 12AM,S-gG-m-D-n-S,S R G~ M~ P D~ N S | S N~ D~ P M~ G R S,Adbhuta
Pancham Jogeshwari,S G m D n S' - S' n D m G m P m g S,"S G m g S ; ,n ,D ; ,m ,D ,n S ; S G m ; m P m g S ; n D m ; D n S' ; S' D ; n D ; D m ; P m g S",Madhyam - Shadj,9PM to 12AM,S-gG-m-P-D-n-S,S R~ G M P D~ N S | S N D~ P~ M G~ R S,Shringar
Jogiya,S r m P d S'; - S' N d P ; m m r S,r m m ; m P d ; P d N d P ; P d m r S,Madhyam - Shadj,6AM to 9AM,S-r-m-P-d-N-S,S r~ g M~ P~ D~ n S | S n D~ P M~ g r S,Shanta
Jogkauns,S G m d N S'; - S' N d P m ; P d n d P m ; G m (S)g S,G m ; G m P m ; G m d N S' ; S' N d ; P d n d m P m ; G m (S)g S ,Madhyam - Shadj,12AM - 3PM,S-gG-m-P-d-N-S,S G~ M~ D~ N S | S N~ D~ M G~ R S,Karuna
Kafi,S R g m P D n S'; - S' n D P m g R S,g R ; m P ; m P D P ; D n S' ; n D P,Pancham - Shadj,9PM to 12AM,S-R-g-m-P-D-n-S,S R~ g M P~ D~ n S | S n D~ P M~ g R S,Shringar
Kalawati,"S G P D n S'; - S' n D P G P G S ; ,n ,D S",S G P D ; P D n D ; D P ; G P D S n ; D n S ; n P ; D G ; P G S ; n D S,Pancham - Shadj,9PM to 12AM,S-G-P-D-n-S,S G~ P D~ N S | S N~ D P~ G~ S,Adbhuta
Kamod,S R P ; G m R S ; m R P ; D N S'; - S' N D P ; M P D P ; G m P ; G m R S,S (m)R R P ; G m P G m R S ; S' R' S' ; D D P ; m R P ; D M P ; G m R S,Pancham - Rishabh,6PM to 9PM,S-R-G-m-P-D-nN-S,S R~ G P~ D N S | S N D~ P~ M G~ R S,Shringar
Kaushik Dhwani,S G m D N S'; - S' N D m G S,G m D N D S' ; N S' D ; G m ; D m G S,Madhyam - Shadj,9PM to 12AM,S-G-m-D-N-S,S G~ M P~ D N~ S | S N D~ P M G~ R S,Veera
Kausi Kanada,",n S g m d n S'; - S' n d P m g R g m R S","g m d P ; m g R ; g m S ; g m P m g R ; g S ,d ,n R S",Madhyam - Shadj,12AM to 3AM,S-R-g-m-P-d-n-S,S r~ G M~ D N S | S N D~ M G~ R S,Karuna
Kedar,S M P D N S'; - S' N D P ; M P D P ; m m R S,S m ; m P; M P D P m ; S R S ; M P D P M ; P S'; S' R' S' S' D D P,Madhyam - Shadj,6PM to 9PM,S-R-G-mM-P-D-nN-S,S M~ G P M~ D N~ S | S N D~ P M~ G R S,Shanta
Khamaj,"S G m P D N S'; - S' n D P m G R G S ,N S G m P",G m P D; G m G; P S' N S'; n D p; m P m G; R S,Gandhar - Nishad,9PM to 12AM,S-R-G-m-P-D-n-S,S G~ M P D~ N S | S N D P~ M G~ R S,Shringar
Khambavati,"S R m P D S'; - S' n D P D ; m P ; G m S ; R ,n ,D S","P d S' ; S' N S' R' g' R' S' N d P ; d P m P ; P m g R ; g m ; g R S ,N ,d ,N R S",Gandhar - Dhaivat,9PM to 12AM,S-R-G-m-P-D-n-S,S G~ M~ D N~ S | S N D~ P M G~ R S,Hasya
Kirwani,S R g m P d N S'; - S' N d P m g R S,"P d S' ; S' N S' R' g' R' S' N d P ; d P m P ; P m g R ; g m ; g R S ,N ,d ,N R S",Pancham - Shadj,9PM to 12AM,S-R-g-m-P-d-N-S,S R G~ M D~ n S | S n D~ M G~ R S,Karuna
Komal Rishabh Asawari,"S r m P d S'; - S' r' n d m P d m g r g r ,n ,d r S",m P d S' ; r' n d m g r ; g r S,Dhaivat - Rishabh,9AM to 12PM,S-r-g-m-P-d-n-S',S r G~ M P~ d n S | S n d P~ M G~ r S,Karuna
